timestamp,title,url,author,tags,thumbnail,name,claimed,mapClass
8/22/2015 17:44:09,List of English districts by population,https://en.wikipedia.org/wiki/List_of_English_districts_by_population,List of English districts by population,england; district; europe; no map,,,,ListofEnglishdistrictsbypopulation
8/28/2015 21:10:18,Location of Ottawa in Ontario,https://en.wikipedia.org/wiki/Ottawa,Ottawa,ottawa; ontario; canada,https://upload.wikimedia.org/wikipedia/commons/b/b9/Map_of_Ontario_OTTAWA.svg,,,LocationofOttawainOntario
8/28/2015 20:56:19,Lombard St. (San Francisco),https://en.wikipedia.org/wiki/Lombard_Street_(San_Francisco),Lombard Street (San Francisco),Lombard Street; San Francisco; california; no map,,,,LombardSt.(SanFrancisco)
8/28/2015 20:54:40,Louise M. Davies Symphony Hall,https://en.wikipedia.org/wiki/Louise_M._Davies_Symphony_Hall,Louise M. Davies Symphony Hall,Davies Hall; no map,,Roderick Chow,Yes,LouiseM.DaviesSymphonyHall
8/28/2015 12:57:16,Maasai Mara National Reserve of Kenya,https://en.wikipedia.org/wiki/Maasai_Mara,Masai Mara,Africa; Kenya; Parks; National Parks; Tourist Destination; Reference Map,https://upload.wikimedia.org/wikipedia/commons/9/9d/Kenya_relief_location_map.jpg,,,MaasaiMaraNationalReserveofKenya
8/22/2015 18:07:16,Major interstates in Canada,https://en.wikipedia.org/wiki/Roads_in_Canada,Roads in Canada,roads; interstate; canada; north america; ,https://upload.wikimedia.org/wikipedia/commons/1/17/Roads-Canada-frame2.png,,,MajorinterstatesinCanada
8/29/2015 15:13:52,Map of Whidbey Island ,https://en.wikipedia.org/wiki/Whidbey_Island,Whidbey Island,island; topo,https://upload.wikimedia.org/wikipedia/commons/5/53/WhidbeyIsland04.jpg,Brian Davidson,Yes,MapofWhidbeyIsland
8/28/2015 12:10:44,Map showing the word for wine in European languages,https://en.wikipedia.org/wiki/Wine,Wine,wine; europe; history,https://upload.wikimedia.org/wikipedia/commons/c/ca/Word_for_Wine_in_European_languages.svg,,,MapshowingthewordforwineinEuropeanlanguages
8/22/2015 19:56:27,Mazda Raceway Laguna Seca,https://en.wikipedia.org/wiki/Mazda_Raceway_Laguna_Seca,Mazda Raceway Laguna Seca,raceway; track; california; usa,https://upload.wikimedia.org/wikipedia/commons/5/57/Laguna_Seca.svg,Kevin Russell,Yes,MazdaRacewayLagunaSeca
8/22/2015 14:57:02,Medieval Norse Understanding of the Known World,https://en.wikipedia.org/wiki/Norse_colonization_of_the_Americas#Western_trade_and_decline,Norse Colonization of the Americas,medieval; norse; world,https://upload.wikimedia.org/wikipedia/commons/5/58/Norse-world.png,Hans van der Maarel,Yes,MedievalNorseUnderstandingoftheKnownWorld
